original;translation;
"""6J";
(;
(DUŻEGO);(BIG)
(ELEKTRYCZNE);(ELECTRIC)
(KURNIK);(SLEEPER CAB)
(PNEUMATYCZNY);(PNEUMATIC)
(POLEWACZKA);(STREET SPRINKLER)
(SMOK);(OIL PICKUP TUBE)
+;
+POMPA;+PUMP
,;
-;
0.1;
1;
05/S;
8;
1/2J;
10;
10.5J;
106;
10EL;
10J;
110/80-17;
1100;
110R000040;
115/70;
115/90;
120;
1200;
125,80;
125/;
125/70;
125/80;
125/85;
125/90;
12MM;
13;
130/70-13;
135/70;
135/80;
135/90;
14;
"14""";
145/85;
15;
"15""";
1500;
155,90;
155/70;
155/90;
15MM;
16;
"16""";
"16""5X108";
16'';
160/60ZR17;
17;
"17""";
175/70/14;
18;
"18""";
185/65;
185/65/15;
18ZR/ZL;
19;
"19""";
190/50;
195/55;
1952044;
1972590;
1SZT;1PC
2;
2.0;
20;
"20""";
200;
2000;
2013;
205/55;
205/60;
20L;
210;
215/65/15C;
21B;
21R;
225/45;
225/55;
225/55/16;
225\55\17;
230V;
232;
235/55;
235/60/18;
235\55\18;
24;
245/40;
245/40/19;
245/45;
24V/12V;
25;
255/35;
255/50;
265/65;
266;
275;
275/35;
275/50/19;
29;
295X28;
2NH;
2PIN;
2RD;
2SZT;2PCS
2T2T;
3;
30;
30L;
30MM;
315/70;
315/70/22,5;
3200;
330MM;
348MM;
35;
360;
37;
37,5;
38;
39;
3PIN;
3X;
4;
4,5J;
40;
40,5;
40L;
41;
41V;
42;
42B;
44;
440KM;440HP
444/B;
44V;
45;
46;
47,5;
47/14;
48;
48V;
49;
4CYL;4-CYLINDER
4L4L;
4PIN;
4SZT;4PCS
4WD;
4X100;
4X108;
4X98;
5;
5,5J;
5-RAMIENNY;5-SPOKE
5.2B;
50;
50,5;
51;
54;
54,1;
55;
56;
56,1;
56,6;
57,1;
57.1;
58,1;
58.1;
5J;
5PIN;
5X100;
5X108;
5X110;
5X112;
5X114,3;
5X114.3;
5X115;
5X11O;
5X120;
5X130;
5X1312;
5X98;
6;
6,5;
6,5J;
6.5J;
60;
60,1;
60.1;
600L;
63;
63,3;
64;
65;
66;
66,1;
66,6;
66.1;
66.6;
67;
67,1;
67R-010194;
67R-010213;
67R-010256;
67R-010951;
67R-013787;
67R-016865;
67R010104;
67R010286;
67R0211415;
69;
695;
6J;
6PIN;
6SZT;6PCS
6WB;
6X139;
6X6;
7,5;
7,5J;
7.5J;
70;
70,6;
70.1;
71;
71,6;
72;
72,1;
72,3;
72,5;
72,6;
72.6;
73;
74;
76;
7J;
7PIN;
8,5J;
8,5J,;
8.5J;
8.5J/8J;
809D;
89;
8CM;
8E8E;
8I;
8J;
9,5J;
9.5J;
90;
90KM;90HP
95-01;
99;
9J;
A;
A90;
A96;
AAM;
ABARTH;
ABC;
ABS;
ABSORBER;ABSORBER
AC;
ACC;
ACTIVE;
AD;
ADAPTER;ADAPTER
ADAPTEROWY;ADAPTER
ADAPTIVE;
ADAŚ;ADAS
ADBLUE;
ADK;
AGREGAT;UNIT
AGREGATU;UNIT
AHL;
AIR;
AIRBAG;AIRBAG
AIRMATIC;
AIRTRONIC;
AKTYWATOR;ACTIVATOR
AKTYWNE;ACTIVE
AKTYWNEGO;ACTIVE
AKTYWNY;ACTIVE
AKUMULATOR;BATTERY
AKUMULATORA;BATTERY
AKUMULATORY;BATTERIES
AKUMULATORÓW;BATTERIES
ALARMU;ALARM
ALKANTARA;ALCANTARA
ALLROAD;
ALPINE;
ALTERNATOR;ALTERNATOR
ALTERNATORA;ALTERNATOR
ALUMINIOWA;ALUMINUM
ALUMINIOWE;ALUMINUM
ALUMINIUM;ALUMINUM
AM;AM
AMBIENT;AMBIENT
AMBIENTE;AMBIENTE
AMBULANS;AMBULANCE
AMBULANSU;AMBULANCE
AMG;AMG
AMI;AMI
AMORTYZATO;SHOCK ABSORBER
AMORTYZATOR;SHOCK ABSORBER
AMORTYZATORA;SHOCK ABSORBER
AMORTYZATORY;SHOCK ABSORBERS
AND;AND
ANTENA;ANTENNA
ANTENOWY;ANTENNA
ANTENY;ANTENNA
ANTENĄ;ANTENNA
AP;AP
APARAT;DISTRIBUTOR
APTECZKI;FIRST AID KIT
ARMREST;ARMREST
AROMATYZER;AIR FRESHENER
ASSIST;ASSIST
ASSY;ASSY
ASYSTENT;ASSISTANT
ASYSTENTA;ASSISTANT
